,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
mu1,-3.2778718920996633e-06,0.0013183242862115983,-0.0015078298233552484,0.001086774142726607,1073.1745251972936,596.6011470698082,1.0027456050527088,5.67936781197473e-05,0.00013888937474103023
mu2,0.00011729103738661537,0.002043932990705841,-0.001957890614856112,0.0021719994937143875,507.15875269144726,403.19743116546704,1.0091983972316103,0.00011619899883512958,0.00027275001171736454
tau,4762.249492430869,3239.09412349344,102.95780440987733,8952.804433542471,415.1600233985259,382.34544992546074,1.007850701850927,139.15566888248264,47.748972096025625
sigma,0.025533472576851336,0.0001924507833868297,0.02523116981669845,0.025847525177385977,2081.413121442827,2765.759106061044,1.001083126565719,4.220047106304e-06,3.002160889378334e-06
